date,wla,global_lei,global_lei_8m,pct_g20_rising,cb_net_cutters,usmlei
1968-01-31,,,,,,
1968-02-29,,,,,,
1968-03-31,,,,,,
1968-04-30,,,,,,
1968-05-31,,,,,,21.92694411850351
1968-06-30,,,,,,18.47910009383647
1968-07-31,,,,,,17.11395503805177
1968-08-31,,,,,,6.0113630862618415
1968-09-30,,,,,,11.494195450429665
1968-10-31,,,,,,11.524571518465702
1968-11-30,,,,,,14.055372969495867
1968-12-31,,,,,,13.065033488412624
1969-01-31,,,,,,8.194872032407819
1969-02-28,,,,,,8.209435907457785
1969-03-31,,,,,,4.66918902824681
1969-04-30,,,,,,6.8355107522808725
1969-05-31,,,,,,3.0030621242466005
1969-06-30,,,,,,1.4740243277930167
1969-07-31,,,,,,-3.230769338044575
1969-08-31,,,,,,-1.241448495701336
1969-09-30,,,,,,-5.039856405678682
1969-10-31,,,,,,-5.212435887196566
1969-11-30,,,,,,-10.3004557562526
1969-12-31,,,,,,-10.245342770505491
1970-01-31,,,,,,-16.829872427674214
1970-02-28,,,,,,-17.952201568607343
1970-03-31,,,,,,-23.804586028376328
1970-04-30,,,,,,-24.160022929798
1970-05-31,,,,,,-25.33185179913242
1970-06-30,,,,,,-22.133699242653872
1970-07-31,,,,,,-18.642835340281664
1970-08-31,,,,,,-17.29981885157067
1970-09-30,,,,,,-17.85606786999152
1970-10-31,,,,,,-17.84792361481299
1970-11-30,,,,,,-18.584603191746815
1970-12-31,,,,,,-18.245269018754296
1971-01-31,,99.21704,0.1569166596508751,,,-3.2090535512103724
1971-02-28,,99.3642,0.5153652537796916,,,1.802679934654014
1971-03-31,,99.47949,0.7647690630177237,,,3.450620177085035
1971-04-30,,99.55409,0.8944024455649071,,,11.230189855976665
1971-05-31,,99.59422,0.9231577753757989,,,16.01669074158799
1971-06-30,,99.61024,0.8792122189846765,62.5,,12.739501498748208
1971-07-31,,99.61436,0.793907503160483,50.0,,14.312652842459244
1971-08-31,,99.62187,0.7009973237713751,62.5,,10.99669616012341
1971-09-30,,99.66157,0.65699338688448,62.5,,14.947789611993386
1971-10-31,,99.76518,0.7205543901269493,62.5,,20.26811655079466
1971-11-30,,99.94827,0.91774917743885,75.0,,24.08562589604252
1971-12-31,,100.2028,1.2314878274117547,87.5,,29.648945222521863
1972-01-31,,100.489,1.5860359046175603,100.0,,25.750999883260906
1972-02-29,,100.771,1.9127121033416472,100.0,,29.313816294930007
1972-03-31,,101.0308,2.176482616579605,100.0,,31.172571612422907
1972-04-30,,101.2685,2.375919722851691,100.0,,30.607137287183786
1972-05-31,,101.4886,2.516492361035631,100.0,,27.749891690035213
1972-06-30,,101.7017,2.6153734144544387,87.5,,24.871731594004608
1972-07-31,,101.9283,2.7081024759156236,87.5,,23.12150058642622
1972-08-31,,102.1836,2.8189021898094637,87.5,,29.637400692918206
